id,source,business_name,owner_name,email,phone,website,facebook,instagram,linkedin,twitter,address,city,state,zip_code,latitude,longitude,category,subcategories,rating,review_count,price_level,competitor_name,competitor_rating,competitor_review_count,competitor_website,pain_points,notes,scraped_at,last_updated
c2d0cdf3dd4e,google_places,Severyn Cool Services,,,(239) 248-4446,http://severyncoolservices.com/,,,,,"5790 Yahl St #101, Naples, FL 34109, USA",Naples,FL,34109,26.216698,-81.7770812,hvac,establishment|general_contractor|point_of_interest,5,973,,,0.0,0,,,,2026-03-23T13:07:37.763742,2026-03-23T13:07:37.763742
5141858d05c6,google_places,JP Brett & Sons Air Conditioning,,,(239) 566-3633,https://www.brettairconditioning.com/,,,,,"1955 Elsa St, Naples, FL 34109, USA",Naples,FL,34109,26.2197535,-81.7797212,hvac,establishment|general_contractor|point_of_interest,4.9,555,,,0.0,0,,,,2026-03-23T13:07:39.824669,2026-03-23T13:07:39.824669
576e8cd9c66a,google_places,"Family Air Conditioning and Heating, Inc.",,,(239) 354-4326,https://www.familyairconditioning.net/,,,,,"3899 Mannix Dr Unit 422, Naples, FL 34114, USA",Naples,FL,34114,26.1561663,-81.6784351,hvac,establishment|general_contractor|point_of_interest,5,644,,,0.0,0,,,,2026-03-23T13:07:41.777174,2026-03-23T13:07:41.777174
55157068123b,google_places,Cool Zone Inc,,,(239) 513-9199,https://coolzoneinc.com/?utm_source=gbp,,,,,"2000 J and C Blvd, Naples, FL 34109, USA",Naples,FL,34109,26.2234139,-81.7789291,hvac,establishment|general_contractor|point_of_interest,4.9,334,,,0.0,0,,,,2026-03-23T13:07:43.901174,2026-03-23T13:07:43.901174
32cd60e2f783,google_places,One Way Air,,,(239) 233-4356,https://onewayairfl.com/fort-myers/naples/,,,,,"1415 Panther Ln Suite 565, Naples, FL 34109, USA",Naples,FL,34109,26.2151668,-81.79041819999999,hvac,establishment|general_contractor|point_of_interest,5,38,,,0.0,0,,,,2026-03-23T13:07:45.776360,2026-03-23T13:07:45.776360
4ea816d3e0c0,google_places,One Hour Heating & Air Conditioning,,,(239) 237-3360,https://www.onehourheatandair.com/naples/?utm_source=GMB&utm_medium=organic&utm_campaign=gbp_main,,,,,"4380 Enterprise Ave, Naples, FL 34104, USA",Naples,FL,34104,26.1602683,-81.75606739999999,hvac,establishment|general_contractor|point_of_interest,4.8,3822,,,0.0,0,,,,2026-03-23T13:07:47.889064,2026-03-23T13:07:47.889064
802529800e38,google_places,Good Neighbors Air Conditioning,,,(239) 216-4759,https://goodneighborsair.com/,,,,,"10971 K Nine Drive #100, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3262175,-81.7712287,hvac,establishment|general_contractor|point_of_interest,5,147,,,0.0,0,,,,2026-03-23T13:07:49.838535,2026-03-23T13:07:49.838535
7686375107ae,google_places,26 Degree HVAC LLC,,,(239) 264-0324,http://www.26degreehvac.com/,,,,,"101 S Heathwood Dr, Marco Island, FL 34145, USA",Marco Island,FL,34145,25.9358784,-81.7155581,hvac,establishment|general_contractor|point_of_interest,5,91,,,0.0,0,,,,2026-03-23T13:07:51.828724,2026-03-23T13:07:51.828724
2911ba17b625,google_places,Pure Air Conditioning,,,(239) 597-7873,https://getpureair.com/,,,,,"2043 Trade Center Way, Naples, FL 34109, USA",Naples,FL,34109,26.2256369,-81.7765932,hvac,establishment|general_contractor|point_of_interest,4.9,1287,,,0.0,0,,,,2026-03-23T13:07:53.858919,2026-03-23T13:07:53.858919
7659a4eeada4,google_places,First Choice Cooling & Heating,,,(239) 398-6370,http://www.firstchoicecoolingswfl.com/,,,,,"1041 9th St SW, Naples, FL 34117, USA",Naples,FL,34117,26.210486,-81.6252356,hvac,establishment|general_contractor|point_of_interest,5,96,,,0.0,0,,,,2026-03-23T13:07:55.782093,2026-03-23T13:07:55.782093
62fd29737bf4,google_places,Wicked Cool Air Conditioning,,,(239) 256-2577,https://www.wickedcoolac.com/?utm_source=GMBlisting&utm_medium=organic,,,,,"1101 Sun Century Rd, Naples, FL 34110, USA",Naples,FL,34110,26.3058773,-81.7950297,hvac,establishment|general_contractor|point_of_interest,4.9,271,,,0.0,0,,,,2026-03-23T13:07:57.866550,2026-03-23T13:07:57.866550
767d01585bc3,google_places,Dolphin Cooling & Heating Inc,,,(239) 596-9044,https://www.dolphincooling.com/,,,,,"3506 Exchange Ave, Naples, FL 34104, USA",Naples,FL,34104,26.1584211,-81.7646573,hvac,establishment|general_contractor|point_of_interest,4.9,582,,,0.0,0,,,,2026-03-23T13:07:59.870342,2026-03-23T13:07:59.870342
4f929cbf1150,google_places,Conditioned Air Naples,,,(239) 643-2445,http://conditionedair.com/,,,,,"3786 Mercantile Ave, Naples, FL 34104, USA",Naples,FL,34104,26.1654999,-81.7621523,hvac,establishment|general_contractor|point_of_interest,4.8,3959,,,0.0,0,,,,2026-03-23T13:08:01.833450,2026-03-23T13:08:01.833450
cd4a64f43624,google_places,Grande Aire Services Inc.,,,(239) 746-8240,https://www.grandeaire.com/naples/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Bonita-Springs-FL,,,,,"3963 Bonita Beach Rd SW, Bonita Springs, FL 34134, USA",Bonita Springs,FL,34134,26.3301463,-81.8183505,hvac,establishment|general_contractor|point_of_interest|store,4.9,943,,,0.0,0,,,,2026-03-23T13:08:03.846414,2026-03-23T13:08:03.846414
a853cafa12a2,google_places,General Air and Plumbing - An Elevate Home Services Company,,,(239) 748-0609,https://www.generalairplumbing.com/,,,,,"28120 Hunters Ridge Blvd, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3283744,-81.7460006,hvac,electrician|establishment|general_contractor|plumber|point_of_interest,4.8,98,,,0.0,0,,,,2026-03-23T13:08:05.988665,2026-03-23T13:08:05.988665
beca97796675,google_places,Stone Cold HVAC,,,(239) 285-7905,http://stonecoldhvac.com/,,,,,"2880 14th Ave SE, Naples, FL 34117, USA",Naples,FL,34117,26.2044384,-81.5486085,hvac,establishment|general_contractor|point_of_interest,5,57,,,0.0,0,,,,2026-03-23T13:08:07.854545,2026-03-23T13:08:07.854545
6f91cad0dd95,google_places,Complete Care Air,,,(239) 207-7767,https://www.completecareair.com/,,,,,"670 Goodlette-Frank Rd #225, Naples, FL 34103, USA",Naples,FL,34103,26.1557739,-81.79055749999999,hvac,establishment|general_contractor|point_of_interest,5,959,,,0.0,0,,,,2026-03-23T13:08:09.816343,2026-03-23T13:08:09.816343
d586dc41da0e,google_places,ASH HEATING AND AIR CONDITIONING,,,(239) 595-7382,http://www.ash-ac.com/,,,,,"3232 70th Ave NE, Naples, FL 34120, USA",Naples,FL,34120,26.3594602,-81.5440658,hvac,establishment|general_contractor|point_of_interest,5,55,,,0.0,0,,,,2026-03-23T13:08:11.811054,2026-03-23T13:08:11.811054
0eaad9b1d9b7,google_places,"Comfort Control Air Conditioning Specialists, Inc.",,,(239) 404-4755,https://www.airconditioningcomfort.com/,,,,,"25270 Bernwood Dr #8, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3679405,-81.79873309999999,hvac,establishment|general_contractor|point_of_interest,4.9,494,,,0.0,0,,,,2026-03-23T13:08:13.935904,2026-03-23T13:08:13.935904
c3b4016d8af4,google_places,Best Home Services - Naples,,,(239) 677-4312,https://getbest.com/service-area/naples/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*048*best-home-services-naples,,,,,"1455 Rail Head Blvd #1, Naples, FL 34110, USA",Naples,FL,34110,26.3118225,-81.78869159999999,hvac,electrician|establishment|general_contractor|plumber|point_of_interest|store,4.8,7501,,,0.0,0,,,,2026-03-23T13:08:15.926026,2026-03-23T13:08:15.926026
c74f798a876c,google_places,Dr. Kool Air Conditioning,,,(239) 510-9927,https://drkoolac.com/?utm_source=GBP&utm_medium=GBP,,,,,"10911 Harmony Park Dr, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3219758,-81.7741989,hvac,establishment|general_contractor|point_of_interest,4.9,273,,,0.0,0,,,,2026-03-23T13:08:20.169194,2026-03-23T13:08:20.169194
d46e414a8b2f,google_places,All Year Cooling & Plumbing,,,(239) 422-9577,https://allyearcooling.com/about/areas-we-service/naples/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,,,,,"6203 Janes Ln, Naples, FL 34109, USA",Naples,FL,34109,26.2217927,-81.7783816,hvac,establishment|general_contractor|home_goods_store|plumber|point_of_interest|store,5,48,,,0.0,0,,,,2026-03-23T13:08:22.227462,2026-03-23T13:08:22.227462
2e78ffeb8551,google_places,Florida Comfort Systems,,,(239) 774-5501,http://acbyfcs.com/,,,,,"3887 Mannix Dr STE 625, Naples, FL 34114, USA",Naples,FL,34114,26.1553385,-81.678438,hvac,establishment|general_contractor|point_of_interest|store,4.9,98,,,0.0,0,,,,2026-03-23T13:08:24.140124,2026-03-23T13:08:24.140124
5c5d0329ed5c,google_places,All Star Air Conditioning,,,(239) 597-5007,https://www.facebook.com/staycoolnaples/,,,,,"1597 Pine Ridge Rd, Naples, FL 34109, USA",Naples,FL,34109,26.2120913,-81.7859479,hvac,establishment|general_contractor|point_of_interest,4.9,402,,,0.0,0,,aggregator_only,,2026-03-23T13:08:26.160163,2026-03-23T13:08:26.160163
1059ed91a480,google_places,Dor-Mar Marco Island Service,,,(239) 382-7077,https://www.dormarhvac.com/locations/collier-county-fl/marco-island-fl/,,,,,"950 N Collier Blvd STE 400, Marco Island, FL 34145, USA",Marco Island,FL,34145,25.9549082,-81.7244212,hvac,establishment|general_contractor|point_of_interest,4.9,219,,,0.0,0,,,,2026-03-23T13:08:28.209313,2026-03-23T13:08:28.209313
ecbabace80cf,google_places,"Accurate Comfort Services - Naples, FL",,,(239) 389-9600,https://accuratecomfortservices.com/?utm_source=google&utm_medium=organic&utm_campaign=naples_gbp,,,,,"3401 Progress Ave, Naples, FL 34104, USA",Naples,FL,34104,26.1646253,-81.7657483,hvac,establishment|general_contractor|point_of_interest,4.8,451,,,0.0,0,,,,2026-03-23T13:08:30.206120,2026-03-23T13:08:30.206120
1e6a93aad8c4,google_places,Homepatible,,,(239) 427-1511,https://www.homepatibleca.com/,,,,,"5660 Strand Ct Unit A201, Naples, FL 34110, USA",Naples,FL,34110,26.2744267,-81.74421749999999,hvac,establishment|general_contractor|point_of_interest,4.8,28,,,0.0,0,,,,2026-03-23T13:08:32.176142,2026-03-23T13:08:32.176142
6761a4c558d9,google_places,Southern Comfort Air,,,(239) 642-6642,http://www.southerncomfortairllc.com/,,,,,"994 N Barfield Dr STE 35, Marco Island, FL 34145, USA",Marco Island,FL,34145,25.9602629,-81.724086,hvac,establishment|general_contractor|point_of_interest,4.8,52,,,0.0,0,,,,2026-03-23T13:08:34.202374,2026-03-23T13:08:34.202374
938df3ca0b4f,google_places,KOZAK Air Conditioning & Refrigeration,,,(239) 539-3209,https://www.kozakair.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Naples-FL,,,,,"3425 Radio Rd STE 217, Naples, FL 34104, USA",Naples,FL,34104,26.1542227,-81.76384259999999,hvac,establishment|general_contractor|point_of_interest,5,89,,,0.0,0,,,,2026-03-23T13:08:36.172597,2026-03-23T13:08:36.172597
73e6cefc4f3c,google_places,Key to Cool,,,(239) 309-2991,http://www.keytocool.com/,,,,,"3900 Mannix Dr STE 106, Naples, FL 34114, USA",Naples,FL,34114,26.1560281,-81.67685929999999,hvac,establishment|general_contractor|point_of_interest|store,4.9,435,,,0.0,0,,,,2026-03-23T13:08:38.189616,2026-03-23T13:08:38.189616
667047a0cba5,google_places,Soave Mechanical,,,(239) 544-4640,https://soavemechanical.com/,,,,,"1141 Sun Century Rd, Naples, FL 34110, USA",Naples,FL,34110,26.3059006,-81.79336889999999,hvac,establishment|general_contractor|point_of_interest,5,4,,,0.0,0,,few_reviews,,2026-03-23T13:08:40.217998,2026-03-23T13:08:40.217998
b19c3be6ce7f,google_places,Nixon Air Conditioning,,,(239) 269-1042,,,,,,"2025 J and C Blvd #5, Naples, FL 34109, USA",Naples,FL,34109,26.2240225,-81.77844449999999,hvac,establishment|general_contractor|point_of_interest|store,4.9,115,,,0.0,0,,no_website,,2026-03-23T13:08:42.207147,2026-03-23T13:08:42.207147
53d76d7a6e4d,google_places,Freeze The Heat Air Conditioning & Duct Cleaning,,,(239) 777-9563,https://freezetheheat.com/,,,,,"Pine Run Rd, Naples, FL 34109, USA",Naples,FL,34109,26.2139475,-81.7582845,hvac,establishment|general_contractor|point_of_interest,5,149,,,0.0,0,,,,2026-03-23T13:08:44.164647,2026-03-23T13:08:44.164647
4e80eb6db740,google_places,Applied Heating and Cooling,,,(239) 251-0199,,,,,,"3609 9th St N, Naples, FL 34103, USA",Naples,FL,34103,26.1897309,-81.8007822,hvac,establishment|general_contractor|point_of_interest,4.7,12,,,0.0,0,,no_website,,2026-03-23T13:08:46.179127,2026-03-23T13:08:46.179127
45cc7d3e0736,google_places,"A5 Air Conditioning, LLC",,,(239) 686-2522,https://a5ac.com/,,,,,"4573 Enterprise Ave #6, Naples, FL 34104, USA",Naples,FL,34104,26.1614489,-81.7540796,hvac,establishment|general_contractor|point_of_interest,5,19,,,0.0,0,,,,2026-03-23T13:08:48.208839,2026-03-23T13:08:48.208839
32eddb06a80b,google_places,Jackson Total Service,,,(239) 643-0923,http://jacksontotal.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,"3727 Enterprise Ave # 2, Naples, FL 34104, USA",Naples,FL,34104,26.1611617,-81.7625675,hvac,electrician|establishment|general_contractor|plumber|point_of_interest,4.5,140,,,0.0,0,,,,2026-03-23T13:08:50.194094,2026-03-23T13:08:50.194094
67902a8cbcd5,google_places,Modern Services,,,(239) 597-3178,https://modernservice.com/,,,,,"4100 Corporate Square STE 139, Naples, FL 34104, USA",Naples,FL,34104,26.1539507,-81.755932,hvac,electrician|establishment|general_contractor|plumber|point_of_interest,4.3,32,,,0.0,0,,,,2026-03-23T13:08:52.183706,2026-03-23T13:08:52.183706
706c3e8d8f21,google_places,Coastal Air Conditioning,,,(239) 403-2665,http://www.coastalac.com/,,,,,"5820 Yahl St # 5, Naples, FL 34109, USA",Naples,FL,34109,26.2171891,-81.77722949999999,hvac,establishment|general_contractor|point_of_interest,4.7,10,,,0.0,0,,,,2026-03-23T13:08:54.202217,2026-03-23T13:08:54.202217
b636e570d19b,google_places,Whaley's Air Conditioning Inc - An Elevate Home Services company,,,(239) 992-6453,https://elevatemyhome.com/whaleys-air-conditioning,,,,,"28651 N Diesel Dr #3, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3222358,-81.7710006,hvac,establishment|general_contractor|point_of_interest,4.4,128,,,0.0,0,,,,2026-03-23T13:08:56.215782,2026-03-23T13:08:56.215782
3d41eee7022f,google_places,"Condee Cooling & Electric, Inc.",,,(239) 394-5121,http://condee.com/,,,,,"25 Front St, Marco Island, FL 34145, USA",Marco Island,FL,34145,25.9484916,-81.72051880000001,hvac,electrician|establishment|general_contractor|point_of_interest,4.8,797,,,0.0,0,,,,2026-03-23T13:08:58.208156,2026-03-23T13:08:58.208156
063325b7d355,google_places,JL Appliances Services Inc,,,(305) 519-1713,https://jlaairservices.com/,,,,,"658 12th St SE, Naples, FL 34117, USA",Naples,FL,34117,26.218072,-81.58116799999999,hvac,establishment|general_contractor|point_of_interest,5,7,,,0.0,0,,few_reviews,,2026-03-23T13:09:02.440339,2026-03-23T13:09:02.440339
cadecaa7625f,google_places,Naples Comfort Systems By Stahlman Cooling & Heating | Naples Florida Air Conditioning Company,,,(239) 230-2975,https://stahlmanac.com/,,,,,"2160 Keane Ave, Naples, FL 34117, USA",Naples,FL,34117,26.1837387,-81.6500224,hvac,establishment|general_contractor|point_of_interest,4.9,286,,,0.0,0,,,,2026-03-23T13:09:04.429393,2026-03-23T13:09:04.429393
9c687daf8323,google_places,Heating & Air Conditioning,,,(239) 251-1221,,,,,,"26839 S Tamiami Trl, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3487916,-81.8051208,hvac,establishment|general_contractor|point_of_interest,5,13,,,0.0,0,,no_website,,2026-03-23T13:09:06.445420,2026-03-23T13:09:06.445420
c09dfeaddf91,google_places,Chace Joseph Air Conditioning,,,(239) 293-1589,http://chacejosephac.com/,,,,,"25613 Old Gaslight Dr, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3662277,-81.7904078,hvac,establishment|general_contractor|point_of_interest,4.8,197,,,0.0,0,,,,2026-03-23T13:09:08.554327,2026-03-23T13:09:08.554327
91d5ce24d3f7,google_places,Wilshere AC Repair Naples,,,(239) 347-0260,http://wilshereacrepairnaples.com/,,,,,"3765 Milano Lks Ct, Naples, FL 34114, USA",Naples,FL,34114,26.1186179,-81.68128589999999,hvac,establishment|general_contractor|point_of_interest,5,11,,,0.0,0,,,,2026-03-23T13:09:10.586120,2026-03-23T13:09:10.586120
f226b903b72a,google_places,"Always Be Cooling - Air Conditioning, HVAC Installation, AC Maintenance, Insulation, & Duct Cleaning",,,(239) 777-3972,https://alwaysbecoolingswfl.com/,,,,,"5810 Washington St Unit A, Naples, FL 34109, USA",Naples,FL,34109,26.2175524,-81.77969139999999,hvac,establishment|general_contractor|point_of_interest,4.9,115,,,0.0,0,,,,2026-03-23T13:09:12.521807,2026-03-23T13:09:12.521807
953e7295e639,google_places,"Accurate Comfort Services - Marco Island, FL",,,(239) 389-9600,https://accuratecomfortservices.com/,,,,,"118 S Barfield Dr, Marco Island, FL 34145, USA",Marco Island,FL,34145,25.9334138,-81.7004044,hvac,establishment|general_contractor|point_of_interest,4.9,100,,,0.0,0,,,,2026-03-23T13:09:14.567995,2026-03-23T13:09:14.567995
ee4cea2c8f99,google_places,Speedy Air Conditioning Contractors,,,(239) 977-0145,,,,,,"7557 Campania Way, Naples, FL 34104, USA",Naples,FL,34104,26.1397974,-81.71456210000001,hvac,establishment|general_contractor|point_of_interest,4.8,25,,,0.0,0,,no_website,,2026-03-23T13:09:16.454425,2026-03-23T13:09:16.454425
df6cebb3c046,google_places,Comfort Caddies,,,(239) 402-4099,https://www.comfortcaddies.com/,,,,,"28620 N Diesel Dr, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3233576,-81.77165269999999,hvac,establishment|general_contractor|point_of_interest,4.9,295,,,0.0,0,,,,2026-03-23T13:09:18.483800,2026-03-23T13:09:18.483800
197ba408dde3,google_places,Heating and AC Experts,,,(239) 737-2671,,,,,,"4139 Tamiami Trl E, Naples, FL 34112, USA",Naples,FL,34112,26.1166558,-81.7549911,hvac,establishment|general_contractor|point_of_interest,5,4,,,0.0,0,,no_website|few_reviews,,2026-03-23T13:09:20.475803,2026-03-23T13:09:20.475803
095572a7d0df,google_places,FosterCare Heating and Air,,,(239) 572-1693,http://www.fostercareair.com/,,,,,"256 Tahiti Rd, Marco Island, FL 34145, USA",Marco Island,FL,34145,25.9434714,-81.7175292,hvac,establishment|general_contractor|point_of_interest,5,15,,,0.0,0,,,,2026-03-23T13:09:22.451703,2026-03-23T13:09:22.451703
98789e052cbe,google_places,Dor-Mar Naples Air Conditioning Repair and Service,,,(239) 376-1051,https://www.dormarhvac.com/locations/collier-county-fl/naples-fl/,,,,,"3887 Mannix Dr STE 606, Naples, FL 34114, USA",Naples,FL,34114,26.1553385,-81.678438,hvac,establishment|general_contractor|point_of_interest,5,14,,,0.0,0,,,,2026-03-23T13:09:24.482680,2026-03-23T13:09:24.482680
5258a92df435,google_places,Hvac Supply,,,(239) 390-8144,http://www.hvacsupplyinc.com/,,,,,"28730 S Cargo Ct, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3217599,-81.77413070000001,hvac,establishment|point_of_interest,5,25,,,0.0,0,,,,2026-03-23T13:09:26.608542,2026-03-23T13:09:26.608542
736864e2b103,google_places,Low Temp A/C LLC,,,(239) 380-2343,,,,,,"2049 49th Terrace SW, Naples, FL 34116, USA",Naples,FL,34116,26.1906368,-81.70667859999999,hvac,establishment|general_contractor|point_of_interest,5,2,,,0.0,0,,no_website|few_reviews,,2026-03-23T13:09:28.552699,2026-03-23T13:09:28.552699
65394c81a75e,google_places,Downeast Air Heating & Cooling,,,(239) 530-2665,https://www.downeastair.net/,,,,,"1495 Rail Head Blvd # 8, Naples, FL 34110, USA",Naples,FL,34110,26.3129806,-81.7867842,hvac,establishment|general_contractor|point_of_interest,4.8,395,,,0.0,0,,,,2026-03-23T13:09:32.786319,2026-03-23T13:09:32.786319
5bf5ecfafeb2,google_places,Carden-239 HVAC Repair Cooling & Heating,,,(239) 221-0219,,,,,,"10924 K Nine Drive Unit 303, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3269495,-81.77359,hvac,establishment|general_contractor|point_of_interest,5,1,,,0.0,0,,no_website|few_reviews,,2026-03-23T13:09:33.056167,2026-03-23T13:09:33.056167
ad8e370bda05,google_places,Naples Air Conditioning LLC,,,(239) 430-9333,http://www.naples-air-conditioning.com/,,,,,"2880 14th St N, Naples, FL 34103, USA",Naples,FL,34103,26.1804756,-81.7921312,hvac,establishment|general_contractor|point_of_interest,4.7,12,,,0.0,0,,,,2026-03-23T13:09:36.983307,2026-03-23T13:09:36.983307
f6cd91dfbc2d,google_places,Total Health of Naples Chiropractor,,,(239) 260-1426,http://www.totalhealthnaples.com/,,,,,"10661 Airport-Pulling Rd STE 11, Naples, FL 34109, USA",Naples,FL,34109,26.2697812,-81.7710776,chiropractor,doctor|establishment|health|physiotherapist|point_of_interest,5,524,,,0.0,0,,,,2026-03-23T13:17:59.003616,2026-03-23T13:17:59.003616
8b6f0d6fea32,google_places,Chiropractic of Naples,,,(239) 315-4805,https://chiropracticofnaples.com/,,,,,"3940 Radio Rd #105, Naples, FL 34104, USA",Naples,FL,34104,26.1528968,-81.76034539999999,chiropractor,establishment|health|point_of_interest,5,146,,,0.0,0,,,,2026-03-23T13:18:00.958157,2026-03-23T13:18:00.958157
89ddf67ea7f0,google_places,"Gulf Coast Spine & Sport, LLC",,,(239) 745-5561,https://www.gcssnaples.com/,,,,,"2240 Venetian Ct Unit A, Naples, FL 34109, USA",Naples,FL,34109,26.2415767,-81.7734261,chiropractor,establishment|health|point_of_interest,5,312,,,0.0,0,,,,2026-03-23T13:18:03.110085,2026-03-23T13:18:03.110085
844eebaa8a9f,google_places,Bonita Chiropractic Center,,,(239) 992-5311,https://bonitachiro.com/,,,,,"16517 Vanderbilt Dr, Bonita Springs, FL 34134, USA",Bonita Springs,FL,34134,26.3262712,-81.8193738,chiropractor,establishment|health|point_of_interest,5,376,,,0.0,0,,,,2026-03-23T13:18:04.991479,2026-03-23T13:18:04.991479
8f126ca3aeeb,google_places,The Joint Chiropractic,,,(239) 312-5887,https://www.thejoint.com/florida/naples/naples-27070,,,,,"2338 Pine Ridge Rd, Naples, FL 34109, USA",Naples,FL,34109,26.2086607,-81.77015209999999,chiropractor,establishment|health|point_of_interest,4.6,406,,,0.0,0,,,,2026-03-23T13:18:06.991228,2026-03-23T13:18:06.991228
64f7ff820482,google_places,Bohn Chiropractic Clinic,,,(239) 947-3330,http://www.bohnchiropractic.com/,,,,,"27970 Crown Lake Blvd #1, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3312759,-81.8041839,chiropractor,establishment|health|point_of_interest,4.6,44,,,0.0,0,,,,2026-03-23T13:18:09.063511,2026-03-23T13:18:09.063511
cc6c9e6c86e8,google_places,Harmony Health Clinic,,,(239) 596-4801,https://www.flharmony.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5512543068153032393,,,,,"538 10th St N, Naples, FL 34102, USA",Naples,FL,34102,26.1534658,-81.79466219999999,chiropractor,doctor|establishment|health|hospital|local_government_office|point_of_interest,5,393,,,0.0,0,,,,2026-03-23T13:18:11.034109,2026-03-23T13:18:11.034109
